Accounting,المحاسبة
Accounts Payable,الذمم الدائنة
Accounts Receivable,الذمم المدينة
Actions,إجراءات
Add,بند واجهة
Administrator,المسؤول
Advanced,بند واجهة
Agriculture,الزراعة
AI & Intelligence,الذكاء الاصطناعي والتحليلات
All,الكل
All activities,كل الأنشطة
All branches,كل الفروع
Allow Client Edit,بند واجهة
ALM,إدارة الأصول والخصوم
ar,ar
Asset Insurance,تأمين الأصول
Assigned To,مُسند إلى
Assigned To Me,المُسند إليّ
Attachments,المرفقات
Audience,بند واجهة
Audit,التدقيق
Balance Sheet,الميزانية العمومية
Bank Unmatched Statement Lines,بنود كشف بنك غير مطابقة
Beginner,بند واجهة
Billing & collections,الفوترة والتحصيل
Bookings & registration,الحجوزات والتسجيل
BOQ,جدول الكميات
Branch,الفرع
Budget & cost control,الميزانية وضبط التكلفة
Buy,المشتريات
CAM & recoveries,المصاريف المشتركة والاستردادات
CAM Budget,ميزانية المصاريف المشتركة
Campaign ROI,عائد الحملة
Cancel,إلغاء
Car Rental,تأجير السيارات
Card Break,قسم
Chart,مخطط
Chart of Accounts,دليل الحسابات
Closed,مغلق
Commission Accrual,استحقاق العمولات
Commission Schedule,جدول العمولات
Company,الشركة
Completed,مكتمل
Compliance checks complete,اكتملت فحوصات الامتثال
Compliance Exceptions,استثناءات الامتثال
Compliance Exceptions (IFRS),استثناءات الامتثال (IFRS)
Compliance Exceptions (Tax),استثناءات الامتثال (ضريبي)
Compliance Exceptions Dashboard,لوحة استثناءات الامتثال
Compliance Reports,تقارير الامتثال
Conditions,بند واجهة
Construction,المقاولات
Construction & Engineering,المقاولات والهندسة
Consumer Finance,التمويل الاستهلاكي
Content,بند واجهة
Context,السياق
Context Type,السياق النوع
Core ERP,ERP الأساسي
Cost Center,مركز التكلفة
Country,الدولة
Create,إنشاء
Credit Engine,محرك الائتمان
Credit Risk,مخاطر الائتمان
CRM,إدارة العملاء
Cross-module operations,عمليات متكاملة
Currency,العملة
Custom Documents,المستندات المخصصة
Customer,العميل
Dashboard,لوحة معلومات
Delete,حذف
Design & quantities (BOQ),التصميم والكميات (جدول الكميات)
Desk,المكتب
Detailed Help,بند واجهة
Details,التفاصيل
Development Budget,ميزانية التطوير
Development Project,مشروع تطوير
Development Project Register,سجل مشاريع التطوير
Development project register,سجل مشاريع التطوير
Documents & Integration,المستندات والتكامل
E-Invoice,الفاتورة الإلكترونية
Edit,تعديل
Education,التعليم
en,en
Engineering Consulting,الاستشارات الهندسية
Erpgenex Property Mgmt,إدارة العقارات
Erpgenex Realestate Dev,التطوير العقاري
Erpgenex Realestate Sales,التسويق العقاري
ErpGenEx User Academy,بند واجهة
ERPGENEX · User Academy,بند واجهة
ERPGENEX — Core ERP,ERPGENEX — ERP الأساسي
